,referralId,reasons.count,reasons.items,venue.id,venue.name,venue.location.address,venue.location.lat,venue.location.lng,venue.location.labeledLatLngs,venue.location.distance,venue.location.postalCode,venue.location.cc,venue.location.neighborhood,venue.location.city,venue.location.state,venue.location.country,venue.location.formattedAddress,venue.categories,venue.photos.count,venue.photos.groups,venue.location.crossStreet,venue.venuePage.id,Neighborhood,venue.categories.ids,venue.categories.names
0,e-0-4b8991cbf964a520814232e3-0,0.0,globalInteractionReason,4b8991cbf964a520814232e3,Allwyn's Bakery,81 Underhill drive,43.75984035203157,-79.32471879917513,"[{'label': 'display', 'lat': 43.75984035203157, 'lng': -79.32471879917513}]",922.0,M3A 1Z5,CA,Parkwoods - Donalda,Toronto,ON,Canada,"['81 Underhill drive', 'Toronto ON M3A 1Z5', 'Canada']","[{'id': '4bf58dd8d48988d144941735', 'name': 'Caribbean Restaurant', 'pluralName': 'Caribbean Restaurants', 'shortName': 'Caribbean', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/caribbean_', 'suffix': '.png'}, 'primary': True}]",0.0,[],,,Parkwoods,4bf58dd8d48988d144941735,Caribbean Restaurant
1,e-0-57e286f2498e43d84d92d34a-1,0.0,globalInteractionReason,57e286f2498e43d84d92d34a,Tim Hortons,215 Brookbanks,43.76066827030228,-79.32636763515987,"[{'label': 'display', 'lat': 43.76066827030228, 'lng': -79.32636763515987}]",958.0,M3A 1Z5,CA,,Toronto,ON,Canada,"['215 Brookbanks (York Miils Rd)', 'Toronto ON M3A 1Z5', 'Canada']","[{'id': '4bf58dd8d48988d16d941735', 'name': 'Café', 'pluralName': 'Cafés', 'shortName': 'Café', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/cafe_', 'suffix': '.png'}, 'primary': True}]",0.0,[],York Miils Rd,,Parkwoods,4bf58dd8d48988d16d941735,Café
2,e-0-4bd4846a6798ef3bd0c5618d-2,0.0,globalInteractionReason,4bd4846a6798ef3bd0c5618d,Donalda Golf & Country Club,12 Bushbury Dr,43.75281596740471,-79.34274125604858,"[{'label': 'display', 'lat': 43.75281596740471, 'lng': -79.34274125604858}]",1032.0,M3A 2Z7,CA,,Don Mills,ON,Canada,"['12 Bushbury Dr', 'Don Mills ON M3A 2Z7', 'Canada']","[{'id': '4bf58dd8d48988d1e6941735', 'name': 'Golf Course', 'pluralName': 'Golf Courses', 'shortName': 'Golf Course', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/golfcourse_', 'suffix': '.png'}, 'primary': True}]",0.0,[],,,Parkwoods,4bf58dd8d48988d1e6941735,Golf Course
3,e-0-4e8d9dcdd5fbbbb6b3003c7b-3,0.0,globalInteractionReason,4e8d9dcdd5fbbbb6b3003c7b,Brookbanks Park,Toronto,43.751976046055574,-79.33214044722958,"[{'label': 'display', 'lat': 43.751976046055574, 'lng': -79.33214044722958}]",186.0,,CA,,Toronto,ON,Canada,"['Toronto', 'Toronto ON', 'Canada']","[{'id': '4bf58dd8d48988d163941735', 'name': 'Park', 'pluralName': 'Parks', 'shortName': 'Park', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/park_', 'suffix': '.png'}, 'primary': True}]",0.0,[],,600917367,Parkwoods,4bf58dd8d48988d163941735,Park
4,e-0-4b8ec91af964a520053733e3-4,0.0,globalInteractionReason,4b8ec91af964a520053733e3,Graydon Hall Manor,185 Graydon Hall Drive,43.76392256055678,-79.34296075662587,"[{'label': 'display', 'lat': 43.76392256055678, 'lng': -79.34296075662587}]",1652.0,M3A 3B4,CA,,Toronto,ON,Canada,"['185 Graydon Hall Drive', 'Toronto ON M3A 3B4', 'Canada']","[{'id': '4bf58dd8d48988d171941735', 'name': 'Event Space', 'pluralName': 'Event Spaces', 'shortName': 'Event Space', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/eventspace_', 'suffix': '.png'}, 'primary': True}]",0.0,[],,52496423,Parkwoods,4bf58dd8d48988d171941735,Event Space
5,e-0-4ccec87654f0b1f7f32824ca-5,0.0,globalInteractionReason,4ccec87654f0b1f7f32824ca,Galleria Supermarket,865 York Mills Rd.,43.75352001200256,-79.34951815337949,"[{'label': 'display', 'lat': 43.75352001200256, 'lng': -79.34951815337949}]",1581.0,M3B 1Y5,CA,,Toronto,ON,Canada,"['865 York Mills Rd. (at Upjohn Rd.)', 'Toronto ON M3B 1Y5', 'Canada']","[{'id': '52f2ab2ebcbc57f1066b8b46', 'name': 'Supermarket', 'pluralName': 'Supermarkets', 'shortName': 'Supermarket', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/food_grocery_', 'suffix': '.png'}, 'primary': True}]",0.0,[],at Upjohn Rd.,,Parkwoods,52f2ab2ebcbc57f1066b8b46,Supermarket
6,e-0-4b149ea4f964a52029a523e3-6,0.0,globalInteractionReason,4b149ea4f964a52029a523e3,Darband Restaurant,879 York Mills Rd,43.755193955394894,-79.34849758596626,"[{'label': 'display', 'lat': 43.755193955394894, 'lng': -79.34849758596626}]",1525.0,M3B 1Y5,CA,Sunnybrook - York Mills,Toronto,ON,Canada,"['879 York Mills Rd', 'Toronto ON M3B 1Y5', 'Canada']","[{'id': '4bf58dd8d48988d115941735', 'name': 'Middle Eastern Restaurant', 'pluralName': 'Middle Eastern Restaurants', 'shortName': 'Middle Eastern', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/middleeastern_', 'suffix': '.png'}, 'primary': True}]",0.0,[],,,Parkwoods,4bf58dd8d48988d115941735,Middle Eastern Restaurant
7,e-0-4b0aed06f964a520202a23e3-7,0.0,globalInteractionReason,4b0aed06f964a520202a23e3,Island Foods,1310 Don Mills Rd.,43.745866073988985,-79.34603533317939,"[{'label': 'display', 'lat': 43.745866073988985, 'lng': -79.34603533317939}]",1489.0,,CA,,Toronto,ON,Canada,"['1310 Don Mills Rd.', 'Toronto ON', 'Canada']","[{'id': '4bf58dd8d48988d144941735', 'name': 'Caribbean Restaurant', 'pluralName': 'Caribbean Restaurants', 'shortName': 'Caribbean', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/caribbean_', 'suffix': '.png'}, 'primary': True}]",0.0,[],,,Parkwoods,4bf58dd8d48988d144941735,Caribbean Restaurant
8,e-0-4bafa285f964a5203a123ce3-8,0.0,globalInteractionReason,4bafa285f964a5203a123ce3,Bruno's valu-mart,83 Underhill,43.746143,-79.32463,"[{'label': 'display', 'lat': 43.746143, 'lng': -79.32463}]",820.0,M3A 2P5,CA,,Don Mills,ON,Canada,"['83 Underhill (at Donwood Plaza)', 'Don Mills ON M3A 2P5', 'Canada']","[{'id': '4bf58dd8d48988d118951735', 'name': 'Grocery Store', 'pluralName': 'Grocery Stores', 'shortName': 'Grocery Store', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/food_grocery_', 'suffix': '.png'}, 'primary': True}]",0.0,[],at Donwood Plaza,,Parkwoods,4bf58dd8d48988d118951735,Grocery Store
9,e-0-519e5c39498eb25c945e98c8-9,0.0,globalInteractionReason,519e5c39498eb25c945e98c8,VIA CIBO | italian streetfood,"808 York Mills Rd, Unit 14",43.75406686431253,-79.35795099741557,"[{'label': 'display', 'lat': 43.75406686431253, 'lng': -79.35795099741557}]",2261.0,M3B 1X8,CA,,Toronto,ON,Canada,"['808 York Mills Rd, Unit 14 (Leslie St)', 'Toronto ON M3B 1X8', 'Canada']","[{'id': '4bf58dd8d48988d110941735', 'name': 'Italian Restaurant', 'pluralName': 'Italian Restaurants', 'shortName': 'Italian', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/italian_', 'suffix': '.png'}, 'primary': True}]",0.0,[],Leslie St,,Parkwoods,4bf58dd8d48988d110941735,Italian Restaurant
