,Postal Code,Borough,Neighborhood,Latitude,Longitude,Radius
0,M3A,North York,Parkwoods,43.75245000000007,-79.32990999999998,2568.8626646560724
1,M4A,North York,Victoria Village,43.73057000000006,-79.31305999999995,1445.852271963951
2,M5A,Downtown Toronto,Regent Park,43.659742848554075,-79.36156058002041,80.44289616899938
3,M5A,Downtown Toronto,Harbourfront,43.639230000000055,-79.38306999999998,402.32508727354815
4,M6A,North York,Lawrence Manor,43.7149246904046,-79.44973918570564,80.36892370281706
5,M6A,North York,Lawrence Heights,43.7149246904046,-79.44973918570564,80.36892370281706
6,M7A,Queen's Park,Ontario Provincial Government,43.66253000000006,-79.39187999999996,241.30944547996808
7,M9A,Etobicoke,Islington Avenue,43.66328041206168,-79.53153700861758,80.43815622540443
8,M1B,Scarborough,Malvern,43.79740146665915,-79.23606497212984,80.25822282245707
9,M1B,Scarborough,Rouge,43.811390000000074,-79.19661999999994,5049.832759435686
10,M3B,North York,Don Mills North,43.75211614222964,-79.34728973042667,80.3190256902938
11,M4B,East York,Parkview Hill,43.7044129564064,-79.32883491471068,80.38302066213527
12,M4B,East York,Woodbine Gardens,43.71682000000004,-79.29959999999994,39846.78479390884
13,M5B,Downtown Toronto,Garden District,43.65739000000008,-79.37803999999994,402.20344579686883
14,M5B,Downtown Toronto,Ryerson,43.64884662065743,-79.40249206410026,80.45749398146334
15,M6B,North York,Glencairn,43.708432596237074,-79.44644871017785,80.37763036772475
16,M9B,Etobicoke,West Deane Park,43.66638000000006,-79.56360999999998,402.1432129547233
17,M9B,Etobicoke,Princess Gardens,43.77174903486855,-79.3973453485166,80.29267151736127
18,M9B,Etobicoke,Martin Grove,43.65611194707431,-79.55389479485254,80.44776085624815
19,M9B,Etobicoke,Islington,43.65034000000003,-79.55361999999997,2492.8740548271244
20,M9B,Etobicoke,Cloverdale,43.630123762186514,-79.55613612126254,80.48257043306297
21,M1C,Scarborough,Rouge Hill,43.795821078606636,-79.13151139770962,80.26034559341043
22,M1C,Scarborough,Port Union,43.78819466239457,-79.14026795173206,80.27058850700668
23,M1C,Scarborough,Highland Creek,43.779605817916305,-79.16714903332108,80.28212233938825
24,M3C,North York,Don Mills South,43.705685127473515,-79.33385691603588,80.38131473751997
25,M3C,North York,Flemingdon Park,43.71309000000008,-79.33116999999999,482.1880692367419
26,M4C,East York,Woodbine Heights,43.6933744334847,-79.31610948635173,80.39782116926573
27,M5C,Downtown Toronto,St. James Town,43.670390000000054,-79.37608999999998,804.1656708998531
28,M6C,York,Humewood-Cedarvale,43.68563045949117,-79.42703962291904,80.40820254754097
